country,year,sex,age,suicides_rate
Antigua and Barbuda,2012,female,15-24 years,0
Antigua and Barbuda,2012,male,15-24 years,0
Antigua and Barbuda,2013,female,15-24 years,0
Antigua and Barbuda,2013,male,15-24 years,0
Antigua and Barbuda,2014,female,15-24 years,0
Antigua and Barbuda,2014,male,15-24 years,0
Antigua and Barbuda,2015,female,15-24 years,0
Antigua and Barbuda,2015,male,15-24 years,0
Argentina,2012,male,15-24 years,21.4
Argentina,2012,female,15-24 years,6.03
Argentina,2013,male,15-24 years,19.96
Argentina,2013,female,15-24 years,4.93
Argentina,2014,male,15-24 years,21.13
Argentina,2014,female,15-24 years,6.02
Argentina,2015,male,15-24 years,18.74
Argentina,2015,female,15-24 years,4.51
Armenia,2012,male,15-24 years,1.96
Armenia,2012,female,15-24 years,0.78
Armenia,2013,male,15-24 years,0.82
Armenia,2013,female,15-24 years,0.41
Armenia,2014,male,15-24 years,1.3
Armenia,2014,female,15-24 years,0.88
Armenia,2015,female,15-24 years,1.42
Armenia,2015,male,15-24 years,0.92
Armenia,2016,male,15-24 years,2.47
Armenia,2016,female,15-24 years,0.51
Australia,2012,male,15-24 years,13.74
Australia,2012,female,15-24 years,7.25
Australia,2013,male,15-24 years,16.78
Australia,2013,female,15-24 years,6.28
Australia,2014,male,15-24 years,16.89
Australia,2014,female,15-24 years,6.31
Australia,2015,male,15-24 years,17.46
Australia,2015,female,15-24 years,7.21
Austria,2012,male,15-24 years,12.7
Austria,2012,female,15-24 years,1.21
Austria,2013,male,15-24 years,10.41
Austria,2013,female,15-24 years,4.03
Austria,2014,male,15-24 years,15.29
Austria,2014,female,15-24 years,3.44
Austria,2015,male,15-24 years,11.74
Austria,2015,female,15-24 years,3.87
Austria,2016,male,15-24 years,11.03
Austria,2016,female,15-24 years,4.51
Bahamas,2012,male,15-24 years,6.11
Bahamas,2012,female,15-24 years,0
Bahamas,2013,female,15-24 years,0
Bahamas,2013,male,15-24 years,0
Bahrain,2012,male,15-24 years,0.9
Bahrain,2012,female,15-24 years,0
Bahrain,2013,male,15-24 years,0.91
Bahrain,2013,female,15-24 years,0
Bahrain,2014,male,15-24 years,3.97
Bahrain,2014,female,15-24 years,0
Barbados,2012,female,15-24 years,0
Barbados,2012,male,15-24 years,0
Barbados,2013,female,15-24 years,0
Barbados,2013,male,15-24 years,0
Belarus,2013,male,15-24 years,23.79
Belarus,2013,female,15-24 years,4.34
Belarus,2014,male,15-24 years,22.12
Belarus,2014,female,15-24 years,2.74
Belgium,2012,male,15-24 years,14.68
Belgium,2012,female,15-24 years,4.24
Belgium,2013,male,15-24 years,13.4
Belgium,2013,female,15-24 years,4.11
Belgium,2014,male,15-24 years,12.58
Belgium,2014,female,15-24 years,4.13
Belgium,2015,male,15-24 years,13.84
Belgium,2015,female,15-24 years,3.23
Belize,2012,female,15-24 years,5.77
Belize,2012,male,15-24 years,2.91
Belize,2013,male,15-24 years,11.32
Belize,2013,female,15-24 years,2.81
Belize,2014,male,15-24 years,5.53
Belize,2014,female,15-24 years,5.5
Belize,2015,male,15-24 years,5.41
Belize,2015,female,15-24 years,2.69
Bosnia and Herzegovina,2014,male,15-24 years,2.19
Bosnia and Herzegovina,2014,female,15-24 years,0.8
Brazil,2012,male,15-24 years,7.44
Brazil,2012,female,15-24 years,2.23
Brazil,2013,male,15-24 years,7.47
Brazil,2013,female,15-24 years,2.11
Brazil,2014,male,15-24 years,7.71
Brazil,2014,female,15-24 years,2.17
Brazil,2015,male,15-24 years,7.91
Brazil,2015,female,15-24 years,2.33
Bulgaria,2012,male,15-24 years,10.75
Bulgaria,2012,female,15-24 years,3.54
Bulgaria,2013,male,15-24 years,8.04
Bulgaria,2013,female,15-24 years,1.6
Bulgaria,2014,male,15-24 years,8.71
Bulgaria,2014,female,15-24 years,1.4
Canada,2012,male,15-24 years,16.15
Canada,2012,female,15-24 years,6.07
Canada,2013,male,15-24 years,12.7
Canada,2013,female,15-24 years,6.1
Chile,2012,male,15-24 years,16.86
Chile,2012,female,15-24 years,4.49
Chile,2013,male,15-24 years,15.71
Chile,2013,female,15-24 years,4.38
Chile,2014,male,15-24 years,16.83
Chile,2014,female,15-24 years,4.27
Chile,2015,male,15-24 years,15.99
Chile,2015,female,15-24 years,4.76
Colombia,2012,male,15-24 years,11.42
Colombia,2012,female,15-24 years,3.65
Colombia,2013,male,15-24 years,10.62
Colombia,2013,female,15-24 years,3.43
Colombia,2014,male,15-24 years,11.38
Colombia,2014,female,15-24 years,3.23
Colombia,2015,male,15-24 years,11.27
Colombia,2015,female,15-24 years,4.32
Costa Rica,2012,male,15-24 years,13.83
Costa Rica,2012,female,15-24 years,2.48
Costa Rica,2013,male,15-24 years,11.47
Costa Rica,2013,female,15-24 years,1.99
Costa Rica,2014,male,15-24 years,10.33
Costa Rica,2014,female,15-24 years,3
Croatia,2012,male,15-24 years,13.63
Croatia,2012,female,15-24 years,2.04
Croatia,2013,male,15-24 years,16.1
Croatia,2013,female,15-24 years,2.47
Croatia,2014,male,15-24 years,14.71
Croatia,2014,female,15-24 years,5
Croatia,2015,male,15-24 years,13.73
Croatia,2015,female,15-24 years,2.54
Croatia,2016,male,15-24 years,12.38
Croatia,2016,female,15-24 years,2.6
Cuba,2012,male,15-24 years,8.93
Cuba,2012,female,15-24 years,3.35
Cuba,2013,male,15-24 years,6.04
Cuba,2013,female,15-24 years,2.74
Cuba,2014,male,15-24 years,8.14
Cuba,2014,female,15-24 years,2.67
Cuba,2015,male,15-24 years,7.52
Cuba,2015,female,15-24 years,2.44
Cyprus,2012,male,15-24 years,9.09
Cyprus,2012,female,15-24 years,0
Cyprus,2013,male,15-24 years,12.72
Cyprus,2013,female,15-24 years,0
Cyprus,2014,female,15-24 years,5.07
Cyprus,2014,male,15-24 years,3.28
Cyprus,2015,male,15-24 years,8.58
Cyprus,2015,female,15-24 years,1.72
Cyprus,2016,male,15-24 years,8.61
Cyprus,2016,female,15-24 years,0
Czech Republic,2012,male,15-24 years,13.78
Czech Republic,2012,female,15-24 years,1.72
Czech Republic,2013,male,15-24 years,18.4
Czech Republic,2013,female,15-24 years,2.68
Czech Republic,2014,male,15-24 years,14.85
Czech Republic,2014,female,15-24 years,2.04
Czech Republic,2015,male,15-24 years,10.61
Czech Republic,2015,female,15-24 years,3.65
Czech Republic,2016,male,15-24 years,14.78
Czech Republic,2016,female,15-24 years,4.38
Denmark,2012,male,15-24 years,9.1
Denmark,2012,female,15-24 years,2.31
Denmark,2013,male,15-24 years,6.27
Denmark,2013,female,15-24 years,3.42
Denmark,2014,male,15-24 years,8.37
Denmark,2014,female,15-24 years,1.98
Denmark,2015,male,15-24 years,4.81
Denmark,2015,female,15-24 years,1.68
Ecuador,2012,male,15-24 years,16.41
Ecuador,2012,female,15-24 years,8.31
Ecuador,2013,male,15-24 years,10.58
Ecuador,2013,female,15-24 years,6.22
Ecuador,2014,male,15-24 years,11.05
Ecuador,2014,female,15-24 years,5.34
Ecuador,2015,male,15-24 years,15.68
Ecuador,2015,female,15-24 years,7.6
El Salvador,2012,male,15-24 years,16.18
El Salvador,2012,female,15-24 years,8.75
El Salvador,2013,male,15-24 years,12.57
El Salvador,2013,female,15-24 years,6.64
El Salvador,2014,male,15-24 years,8.03
El Salvador,2014,female,15-24 years,5.05
Estonia,2012,male,15-24 years,16.83
Estonia,2012,female,15-24 years,2.55
Estonia,2013,male,15-24 years,19.19
Estonia,2013,female,15-24 years,2.72
Estonia,2014,male,15-24 years,25.84
Estonia,2014,female,15-24 years,1.45
Estonia,2015,male,15-24 years,29.93
Estonia,2015,female,15-24 years,1.51
Fiji,2012,male,15-24 years,8.74
Fiji,2012,female,15-24 years,5.3
Finland,2012,male,15-24 years,25.2
Finland,2012,female,15-24 years,9.9
Finland,2013,male,15-24 years,20.26
Finland,2013,female,15-24 years,9.63
Finland,2014,male,15-24 years,18.94
Finland,2014,female,15-24 years,6.9
Finland,2015,male,15-24 years,17.77
Finland,2015,female,15-24 years,3.77
France,2012,male,15-24 years,9.2
France,2012,female,15-24 years,2.81
France,2013,male,15-24 years,8.05
France,2013,female,15-24 years,3.11
France,2014,male,15-24 years,7.34
France,2014,female,15-24 years,2.48
Georgia,2012,male,15-24 years,3.26
Georgia,2012,female,15-24 years,0.93
Georgia,2013,male,15-24 years,4
Georgia,2013,female,15-24 years,0.64
Georgia,2014,male,15-24 years,4.54
Georgia,2014,female,15-24 years,1.99
Georgia,2015,male,15-24 years,6.86
Georgia,2015,female,15-24 years,0.87
Germany,2012,male,15-24 years,9.52
Germany,2012,female,15-24 years,2.76
Germany,2013,male,15-24 years,8.74
Germany,2013,female,15-24 years,2.61
Germany,2014,male,15-24 years,8.92
Germany,2014,female,15-24 years,2.87
Germany,2015,male,15-24 years,8.32
Germany,2015,female,15-24 years,3.24
Greece,2012,male,15-24 years,3.97
Greece,2012,female,15-24 years,1.21
Greece,2013,male,15-24 years,4.27
Greece,2013,female,15-24 years,0.71
Greece,2014,male,15-24 years,4.89
Greece,2014,female,15-24 years,1.27
Greece,2015,male,15-24 years,3.56
Greece,2015,female,15-24 years,0.55
Grenada,2012,male,15-24 years,8.95
Grenada,2012,female,15-24 years,0
Grenada,2013,female,15-24 years,0
Grenada,2013,male,15-24 years,0
Grenada,2014,female,15-24 years,0
Grenada,2014,male,15-24 years,0
Grenada,2015,female,15-24 years,0
Grenada,2015,male,15-24 years,0
Grenada,2016,female,15-24 years,0
Grenada,2016,male,15-24 years,0
Guatemala,2012,male,15-24 years,7.24
Guatemala,2012,female,15-24 years,3.93
Guatemala,2013,male,15-24 years,7.42
Guatemala,2013,female,15-24 years,4.45
Guatemala,2014,male,15-24 years,6.77
Guatemala,2014,female,15-24 years,5.07
Guatemala,2015,male,15-24 years,7.13
Guatemala,2015,female,15-24 years,4.85
Guyana,2012,male,15-24 years,40.24
Guyana,2012,female,15-24 years,19.25
Guyana,2013,male,15-24 years,43.64
Guyana,2013,female,15-24 years,38.67
Hungary,2012,male,15-24 years,13.25
Hungary,2012,female,15-24 years,2.56
Hungary,2013,male,15-24 years,9.86
Hungary,2013,female,15-24 years,2.08
Hungary,2014,male,15-24 years,12.09
Hungary,2014,female,15-24 years,1.42
Hungary,2015,male,15-24 years,11.85
Hungary,2015,female,15-24 years,2.72
Hungary,2016,male,15-24 years,10.21
Hungary,2016,female,15-24 years,2.61
Iceland,2012,male,15-24 years,12.39
Iceland,2012,female,15-24 years,8.71
Iceland,2013,male,15-24 years,20.65
Iceland,2013,female,15-24 years,0
Iceland,2014,male,15-24 years,16.54
Iceland,2014,female,15-24 years,8.7
Iceland,2015,male,15-24 years,29.03
Iceland,2015,female,15-24 years,0
Iceland,2016,male,15-24 years,24.9
Iceland,2016,female,15-24 years,0
Ireland,2012,male,15-24 years,21.08
Ireland,2012,female,15-24 years,5.85
Ireland,2013,male,15-24 years,16.11
Ireland,2013,female,15-24 years,3.46
Ireland,2014,male,15-24 years,23.54
Ireland,2014,female,15-24 years,4.21
Israel,2012,male,15-24 years,5.21
Israel,2012,female,15-24 years,2.21
Israel,2013,male,15-24 years,4.81
Israel,2013,female,15-24 years,0.84
Israel,2014,male,15-24 years,5.52
Israel,2014,female,15-24 years,1.65
Israel,2015,male,15-24 years,5.43
Israel,2015,female,15-24 years,1.3
Italy,2012,male,15-24 years,5.9
Italy,2012,female,15-24 years,1.53
Italy,2013,male,15-24 years,4.82
Italy,2013,female,15-24 years,1.69
Italy,2014,male,15-24 years,5.54
Italy,2014,female,15-24 years,1.59
Italy,2015,male,15-24 years,5.27
Italy,2015,female,15-24 years,1.18
Japan,2012,male,15-24 years,20.92
Japan,2012,female,15-24 years,8.43
Japan,2013,male,15-24 years,20.22
Japan,2013,female,15-24 years,8
Japan,2014,male,15-24 years,19.31
Japan,2014,female,15-24 years,7.44
Japan,2015,male,15-24 years,17.92
Japan,2015,female,15-24 years,7.07
