country,year,legalone,legaltwo,suicide_rate
Guyana,2014,1,1,30.2
Lesotho,2014,1,0,28.9
Lithuania,2014,1,1,25.7
Republic of Korea,2014,1,1,20.2
Russian Federation,2014,1,1,26.5
Suriname,2014,1,1,23.2
Uganda,2014,1,1,20.0
Zimbabwe,2014,1,1,19.1
Azerbaijan,2014,1,1,2.6
Barbados,2014,1,1,0.4
Grenada,2014,1,1,1.7
Guatemala,2014,0,1,2.9
Jamaica,2014,1,1,2.0
Kuwait,2014,0,0,2.2
Maldives,2014,0,0,2.7
Saint Vincent and the Grenadines,2014,1,0,2.4
Syrian Arab Republic,2014,0,1,2.4
United Arab Emirates,2014,1,1,2.7
